date,strategy,return
2021-11-08,Base Min-Variance,0.0019239526720446823
2021-11-09,Base Min-Variance,0.000519229006147375
2021-11-10,Base Min-Variance,0.0002331208165627681
2021-11-11,Base Min-Variance,0.00255952003220124
2021-11-12,Base Min-Variance,0.0024407878397907775
2021-11-15,Base Min-Variance,-0.0026452884586256197
2021-11-16,Base Min-Variance,-0.004705933817754349
2021-11-17,Base Min-Variance,-0.0028685388855900443
2021-11-18,Base Min-Variance,-0.0018352015888577766
2021-11-19,Base Min-Variance,-0.007804072963634876
2021-11-22,Base Min-Variance,0.0034862654127194048
2021-11-23,Base Min-Variance,0.006341248285938353
2021-11-24,Base Min-Variance,-0.00033538753276368574
2021-11-26,Base Min-Variance,-0.014745403805148364
2021-11-29,Base Min-Variance,0.00022401966034763768
2021-11-30,Base Min-Variance,-0.021854913153537582
2021-12-01,Base Min-Variance,-0.011556826515756177
2021-12-02,Base Min-Variance,0.014123400977474016
2021-12-03,Base Min-Variance,0.008907798823130766
2021-12-06,Base Min-Variance,0.010419162761685648
2021-12-07,Base Min-Variance,0.002954772421693022
2021-12-08,Base Min-Variance,0.0008965180888738326
2021-12-09,Base Min-Variance,-0.002854024225597911
2021-12-10,Base Min-Variance,0.007727179781168043
2021-12-13,Base Min-Variance,0.005211988123112682
2021-12-14,Base Min-Variance,-0.0004147321967467299
2021-12-15,Base Min-Variance,0.012979500114023943
2021-12-16,Base Min-Variance,0.010126487461173986
2021-12-17,Base Min-Variance,-0.012276646370379347
2021-12-20,Base Min-Variance,0.0021549446627410853
2021-12-21,Base Min-Variance,0.0031213570650222887
2021-12-22,Base Min-Variance,0.006509465888324111
2021-12-23,Base Min-Variance,0.0015944915690745162
2021-12-27,Base Min-Variance,0.01048576001686605
2021-12-28,Base Min-Variance,0.004377226546026743
2021-12-29,Base Min-Variance,0.0011579806094931542
2021-12-30,Base Min-Variance,0.0007047534774302709
2021-12-31,Base Min-Variance,-0.0011030377235299422
2022-01-03,Base Min-Variance,0.0021791027274440642
2022-01-04,Base Min-Variance,-0.0004006162177033984
2022-01-05,Base Min-Variance,-0.0018153998452577504
2022-01-06,Base Min-Variance,-0.003994627671029646
2022-01-07,Base Min-Variance,0.004618663552446526
2022-01-10,Base Min-Variance,-0.0009728365542533801
2022-01-11,Base Min-Variance,0.003541751475965657
2022-01-12,Base Min-Variance,0.0009638582352580042
2022-01-13,Base Min-Variance,-0.0018534565678950583
2022-01-14,Base Min-Variance,-0.002205944529522977
2022-01-18,Base Min-Variance,-0.008924920031650973
2022-01-19,Base Min-Variance,-0.0004268541162155356
2022-01-20,Base Min-Variance,-0.010924251877419487
2022-01-21,Base Min-Variance,-0.004696305169182634
2022-01-24,Base Min-Variance,-0.005276024835807144
2022-01-25,Base Min-Variance,-0.004585169690872203
2022-01-26,Base Min-Variance,-0.016668026394822597
2022-01-27,Base Min-Variance,0.0007130771553914629
2022-01-28,Base Min-Variance,0.015527408423969422
2022-01-31,Base Min-Variance,0.010207336026165394
2022-02-01,Base Min-Variance,-0.0026705788085474584
2022-02-02,Base Min-Variance,0.011309092688341177
2022-02-03,Base Min-Variance,-0.005939971592022225
2022-02-04,Base Min-Variance,-0.0036480380535809233
2022-02-07,Base Min-Variance,-0.000917240805364331
2022-02-08,Base Min-Variance,-0.0013115220117540236
2022-02-09,Base Min-Variance,0.006569468695282247
2022-02-10,Base Min-Variance,-0.01732958037552027
2022-02-11,Base Min-Variance,-0.0029267431369964392
2022-02-14,Base Min-Variance,-0.007886639215132602
2022-02-15,Base Min-Variance,0.002182219127899861
2022-02-16,Base Min-Variance,-0.00181735712940299
2022-02-17,Base Min-Variance,-0.0068746929878200965
2022-02-18,Base Min-Variance,-0.005455785220824798
2022-02-22,Base Min-Variance,-0.004081844169129222
2022-02-23,Base Min-Variance,-0.0024722526045882647
2022-02-24,Base Min-Variance,-0.0012240941612371558
2022-02-25,Base Min-Variance,0.026227194647216352
2022-02-28,Base Min-Variance,-0.004812575947377398
2022-03-01,Base Min-Variance,-0.0017792717324432552
2022-03-02,Base Min-Variance,0.012089448100638
2022-03-03,Base Min-Variance,0.008543611165453406
2022-03-04,Base Min-Variance,0.007157214936323371
2022-03-07,Base Min-Variance,-0.008161668607165717
2022-03-08,Base Min-Variance,-0.013211012630403566
2022-03-09,Base Min-Variance,0.0035566778423643513
2022-03-10,Base Min-Variance,0.002426569707731285
2022-03-11,Base Min-Variance,-0.005152264605752521
2022-03-14,Base Min-Variance,-0.00477227399732939
2022-03-15,Base Min-Variance,0.006298345965603988
2022-03-16,Base Min-Variance,0.0049504814221363845
2022-03-17,Base Min-Variance,0.01127150642772686
2022-03-18,Base Min-Variance,0.003046590568629544
2022-03-21,Base Min-Variance,0.002880397510318055
2022-03-22,Base Min-Variance,0.004123123405761134
2022-03-23,Base Min-Variance,-0.008894657667873318
2022-03-24,Base Min-Variance,0.006309097018035577
2022-03-25,Base Min-Variance,0.008731460153221043
2022-03-28,Base Min-Variance,0.00524940880523064
2022-03-29,Base Min-Variance,0.012390011076489552
2022-03-30,Base Min-Variance,0.0010164419042298142
2022-03-31,Base Min-Variance,-0.008766795720247793
2022-04-01,Base Min-Variance,0.009093880589104144
2022-04-04,Base Min-Variance,0.0027840579866819024
2022-04-05,Base Min-Variance,-0.004462149959651933
