date,strategy,return
2023-04-10,Naive Contrarian,-0.0023452291304237637
2023-04-11,Naive Contrarian,-0.0005223415208198332
2023-04-12,Naive Contrarian,0.00042681992756398015
2023-04-13,Naive Contrarian,0.00987677102981838
2023-04-14,Naive Contrarian,-0.004426391875231487
2023-04-17,Naive Contrarian,-0.0010420984784407677
2023-04-18,Naive Contrarian,-0.0022910481047351433
2023-04-19,Naive Contrarian,-0.0013116341840028831
2023-04-20,Naive Contrarian,-0.00536610110769845
2023-04-21,Naive Contrarian,0.004805356992856547
2023-04-24,Naive Contrarian,0.0017684237993778865
2023-04-25,Naive Contrarian,0.00036696921505113025
2023-04-26,Naive Contrarian,-0.02103175624670983
2023-04-27,Naive Contrarian,0.009394654398887042
2023-04-28,Naive Contrarian,0.002686952865521147
2023-05-01,Naive Contrarian,0.0029471100395973126
2023-05-02,Naive Contrarian,-0.0033927775919813494
2023-05-03,Naive Contrarian,-0.006287831806115767
2023-05-04,Naive Contrarian,-0.0020064346649754016
2023-05-05,Naive Contrarian,0.00830129948960593
2023-05-08,Naive Contrarian,0.00109651132959652
2023-05-09,Naive Contrarian,-0.005347072391262386
2023-05-10,Naive Contrarian,0.00019500068029010872
2023-05-11,Naive Contrarian,-8.047415098621705e-05
2023-05-12,Naive Contrarian,0.0006134155957116399
2023-05-15,Naive Contrarian,-0.0037273299013101937
2023-05-16,Naive Contrarian,-0.010760104121227757
2023-05-17,Naive Contrarian,-0.00343354818188989
2023-05-18,Naive Contrarian,0.001112592245093982
2023-05-19,Naive Contrarian,0.0017818555788980358
2023-05-22,Naive Contrarian,-0.00926426746661263
2023-05-23,Naive Contrarian,-0.004140691951296118
2023-05-24,Naive Contrarian,-0.00422224750843758
2023-05-25,Naive Contrarian,-0.010981866721394277
2023-05-26,Naive Contrarian,-0.0022524565535105867
2023-05-30,Naive Contrarian,-0.00689373564691316
2023-05-31,Naive Contrarian,0.005977705223594944
2023-06-01,Naive Contrarian,-0.0044760755579901735
2023-06-02,Naive Contrarian,0.011469501989445935
2023-06-05,Naive Contrarian,-0.00013478291821724276
2023-06-06,Naive Contrarian,-0.0028010936435305814
2023-06-07,Naive Contrarian,0.004166221056492112
2023-06-08,Naive Contrarian,0.0019358732147971088
2023-06-09,Naive Contrarian,-0.0018325276660211558
2023-06-12,Naive Contrarian,-0.0030142882621062616
2023-06-13,Naive Contrarian,0.006663789317318256
2023-06-14,Naive Contrarian,0.0018274937535338659
2023-06-15,Naive Contrarian,0.010425229780063727
2023-06-16,Naive Contrarian,0.005038603489121957
2023-06-20,Naive Contrarian,-0.011012641254486486
2023-06-21,Naive Contrarian,-0.005101746404828824
2023-06-22,Naive Contrarian,0.004473301897233625
2023-06-23,Naive Contrarian,-0.009277732678136894
2023-06-26,Naive Contrarian,0.004744721366881997
2023-06-27,Naive Contrarian,0.0039012474177845327
2023-06-28,Naive Contrarian,-0.005213546326074762
2023-06-29,Naive Contrarian,-0.001854231366157028
2023-06-30,Naive Contrarian,0.0013074551889443954
2023-07-03,Naive Contrarian,0.00373802842343589
2023-07-05,Naive Contrarian,0.00231134596332366
2023-07-06,Naive Contrarian,-0.008250599236385277
2023-07-07,Naive Contrarian,-0.013493974326634869
2023-07-10,Naive Contrarian,0.0002712191394210852
2023-07-11,Naive Contrarian,0.00988587137324563
2023-07-12,Naive Contrarian,-0.0026637030967353722
2023-07-13,Naive Contrarian,0.0028138374091366187
2023-07-14,Naive Contrarian,0.0036667414353077224
2023-07-17,Naive Contrarian,-0.00454410631222906
2023-07-18,Naive Contrarian,0.0007262667611095937
2023-07-19,Naive Contrarian,0.00809910160034888
2023-07-20,Naive Contrarian,0.014700930484948561
2023-07-21,Naive Contrarian,0.005438467910751785
2023-07-24,Naive Contrarian,0.0008989756963174323
2023-07-25,Naive Contrarian,-0.002620141245086462
2023-07-26,Naive Contrarian,0.003987319973535192
2023-07-27,Naive Contrarian,-0.008089736566000476
2023-07-28,Naive Contrarian,0.0020165113590955527
2023-07-31,Naive Contrarian,-0.004914251793049223
2023-08-01,Naive Contrarian,-0.005344428786517464
2023-08-02,Naive Contrarian,-0.00714636931531619
2023-08-03,Naive Contrarian,-0.008773103641201867
2023-08-04,Naive Contrarian,-0.0040572049981022285
2023-08-07,Naive Contrarian,0.01297190002279429
2023-08-08,Naive Contrarian,-0.004424317435707745
2023-08-09,Naive Contrarian,0.003610023091505223
2023-08-10,Naive Contrarian,-0.002488651226804993
2023-08-11,Naive Contrarian,0.004660557511712015
2023-08-14,Naive Contrarian,-0.002589616358096531
2023-08-15,Naive Contrarian,-0.005678065609663281
2023-08-16,Naive Contrarian,-0.003381318366305614
2023-08-17,Naive Contrarian,-0.006936963771273472
2023-08-18,Naive Contrarian,0.0035026701929357054
2023-08-21,Naive Contrarian,-0.003742316345474978
2023-08-22,Naive Contrarian,-0.004463969497397098
2023-08-23,Naive Contrarian,0.008227096306971153
2023-08-24,Naive Contrarian,-0.00891652868709524
2023-08-25,Naive Contrarian,0.0012379826926967165
2023-08-28,Naive Contrarian,0.004449236484109971
2023-08-29,Naive Contrarian,0.005909111659252995
2023-08-30,Naive Contrarian,0.0021438450378332133
2023-08-31,Naive Contrarian,-0.004153561604734792
2023-09-01,Naive Contrarian,0.0013569033829678146
2023-09-05,Naive Contrarian,-0.0045397842216097824
2023-09-06,Naive Contrarian,-0.0008984579628612053
2023-09-07,Naive Contrarian,0.009875511913905715
2023-09-08,Naive Contrarian,0.00371171447049104
2023-09-11,Naive Contrarian,0.003722437238454593
2023-09-12,Naive Contrarian,-0.0011992845596192612
2023-09-13,Naive Contrarian,0.002627772396983309
2023-09-14,Naive Contrarian,0.009800503067584404
