date,ticker,sector,base_weight,stock_sentiment_z,sector_neutral_weight
2023-06-01,COP,Energy,0.0,-0.4537909386902543,0.0
2023-06-01,CVX,Energy,0.0424636492461103,0.3048488317931438,0.0424636492461103
2023-06-01,D,Utilities,4.8774471236597995e-18,-0.2295973335439566,5.358259129905279e-18
2023-06-01,DD,Materials,0.0,-0.04774193383348759,0.0
2023-06-01,DIS,Consumer,0.0,-0.18067367336083506,0.0
2023-06-01,DOW,Materials,0.0,0.1423297330485521,0.0
2023-06-01,DUK,Utilities,2.8682855602434493e-18,-0.5004936439675118,3.845251734071386e-18
2023-06-01,EA,Comm,0.1322374789886553,-0.3050706735997475,0.12076379508742902
2023-06-01,GE,Industrials,0.0,0.9849951777803914,0.0
2023-06-01,GILD,Healthcare,7.932604379201593e-18,-0.30398362342194796,1.553154672887588e-17
2023-06-01,GS,Financials,3.9050436183533553e-20,-0.1079096062591525,3.6277500401023864e-20
2023-06-01,INTC,Tech,0.0,-0.8451203400783874,0.0
2023-06-01,KO,Consumer,0.2,-0.9699341765597533,0.36426256981855304
2023-06-01,MMM,Industrials,0.0,-0.26401210082751897,0.0
2023-06-01,MRK,Healthcare,0.1716437763107589,1.423032913173221,0.0
2023-06-01,MS,Financials,0.0,-0.5067872399101729,0.0
2023-06-01,NEE,Utilities,4.415417301458795e-18,0.2502694686181167,2.9576391213853784e-18
2023-06-01,NEM,Materials,3.355797764130069e-18,0.8883693182356605,1.2505361027096247e-18
2023-06-01,NKE,Consumer,3.3915664424667375e-19,0.9648117459500095,1.1033946781197993e-20
2023-06-01,NUE,Materials,0.0,0.5650586152255765,0.0
2023-06-01,NVDA,Tech,0.0,-0.9715405468773931,0.0
2023-06-01,O,RealEstate,0.1120942813427668,-0.6647892238655436,0.1120942813427668
2023-06-01,OXY,Energy,0.0,2.225941105997976,-0.0
2023-06-01,PLD,RealEstate,0.0,2.928806272540867,-0.0
2023-06-01,PSA,RealEstate,8.504811726736852e-18,-0.4023419758739965,7.164062759618e-18
2023-06-01,QCOM,Tech,3.7952824392303713e-19,-0.2417135946499321,3.0987670709032824e-19
2023-06-01,SBUX,Consumer,2.104549104772924e-18,-0.31594707891618945,2.5605326880323857e-18
2023-06-01,SHW,Materials,6.694015747529932e-19,-0.24167138713025646,2.774663236173437e-18
2023-06-01,SLB,Energy,2.674882534375304e-18,-0.13173257746082132,4.354810641895773e-18
2023-06-01,SO,Utilities,0.0,-0.3633187828843677,0.0
2023-06-01,T,Comm,0.0282644237892234,-1.0327688947967522,0.040204651643145885
2023-06-01,TMUS,Comm,0.0011282615106931,0.16186355692631585,0.0006617175579968999
2023-06-01,TTWO,Comm,0.0,-0.29907049780136813,0.0
2023-06-01,UPS,Industrials,0.0,-0.020374309227971545,0.0
2023-06-01,USB,Financials,1.0140276910665833e-19,2.0137072644529272,0.0
2023-06-01,V,Financials,0.0,-0.02984370181913646,0.0
2023-06-01,WFC,Financials,2.5705822211626945e-18,-0.24092588907830728,2.674757926051862e-18
2023-06-01,WMT,Consumer,0.164262569818553,1.4403263579865384,0.0
2023-06-01,XOM,Energy,0.0,0.03261317090134441,0.0
2023-07-03,ABBV,Healthcare,0.0906321890559409,-0.11775965902413875,0.076717833732537
2023-07-03,ABT,Healthcare,0.0,1.8388602545645214,-0.0
2023-07-03,ADBE,Tech,4.317189619740668e-19,-0.30866520688137605,1.2713242472070885e-18
2023-07-03,AEP,Utilities,2.774853435084731e-18,-0.06780269239717511,1.0045739029064258e-17
2023-07-03,AMD,Tech,0.0,-0.24650092572881582,0.0
2023-07-03,AMGN,Healthcare,0.0156042266075027,-1.2418236058519683,0.026491656580065734
2023-07-03,AMT,RealEstate,0.0,-0.24021612035522105,0.0
2023-07-03,BA,Industrials,0.0,0.0,0.0
2023-07-03,CAT,Industrials,1.0417568994676396e-19,-0.35920038652707276,1.1001059014898976e-19
2023-07-03,CCI,RealEstate,3.801457367156943e-18,-0.16872934835344616,3.1736525793039507e-18
2023-07-03,CMCSA,Comm,2.4708106384857143e-18,-0.46474378579051734,2.675549117549038e-18
2023-07-03,COP,Energy,0.0,-2.125243353188786,0.0
2023-07-03,CVX,Energy,0.0153812522292251,0.29712652770509207,0.010487304880311837
2023-07-03,D,Utilities,0.0,-3.1654628650689394,0.0
2023-07-03,DD,Materials,1.5797006403878276e-19,-0.2625969760247478,1.2685190213112852e-19
2023-07-03,DIS,Consumer,1.4873633552581945e-18,0.5307351580228682,4.840839285174721e-19
2023-07-03,DOW,Materials,1.6728635707068864e-18,-2.566678084833563,3.794738747774696e-18
