date,fund,profile,fund_type,gross_return,turnover,transaction_cost_rate,transaction_cost,net_return,gross_growth_of_1,net_growth_of_1,cumulative_transaction_cost
2022-03-15,balanced_fixed,balanced,fixed,0.0092145137863979265,0,0.001,0,0.0092145137863979265,1.2054786762556318,1.2013030694215814,0.003483539186950736
2022-03-16,balanced_fixed,balanced,fixed,0.015699167444393591,0,0.001,0,0.015699167444393591,1.2244036878448148,1.2201625274598948,0.003483539186950736
2022-03-17,balanced_fixed,balanced,fixed,0.010999716842104101,0,0.001,0,0.010999716842104101,1.2378717817115357,1.2335839697632998,0.003483539186950736
2022-03-18,balanced_fixed,balanced,fixed,0.010507346558418895,0,0.001,0,0.010507346558418895,1.2508785295168663,1.246545664042513,0.003483539186950736
2022-03-21,balanced_fixed,balanced,fixed,0.0044767102892560029,0,0.001,0,0.0044767102892560029,1.2564783503005639,1.2521260878427596,0.003483539186950736
2022-03-22,balanced_fixed,balanced,fixed,0.015632799603105152,0,0.001,0,0.015632799603105152,1.2761206245564527,1.2717003240518254,0.003483539186950736
2022-03-23,balanced_fixed,balanced,fixed,-0.0012717019780800198,0,0.001,0,-0.0012717019780800198,1.2744977794339356,1.2700831002342037,0.003483539186950736
2022-03-24,balanced_fixed,balanced,fixed,0.0097397792572480046,0,0.001,0,0.0097397792572480046,1.2869111064694749,1.2824534292688461,0.003483539186950736
2022-03-25,balanced_fixed,balanced,fixed,0.0044499219856410921,0,0.001,0,0.0044499219856410921,1.2926377604957191,1.2881602469793103,0.003483539186950736
2022-03-28,balanced_fixed,balanced,fixed,0.0045069607289371927,0,0.001,0,0.0045069607289371927,1.2984636281190147,1.2939659346250241,0.003483539186950736
2022-03-29,balanced_fixed,balanced,fixed,0.016522744129773503,0,0.001,0,0.016522744129773503,1.3199178104082425,1.3153458026754765,0.003483539186950736
2022-03-30,balanced_fixed,balanced,fixed,-0.0015290639505227688,0,0.001,0,-0.0015290639505227688,1.3178995716666944,1.3133345548261339,0.003483539186950736
2022-03-31,balanced_fixed,balanced,fixed,-0.01315690992514118,0,0.001,0,-0.01315690992514118,1.3005600857118935,1.2960551303867112,0.003483539186950736
2022-04-01,balanced_fixed,balanced,fixed,0.0092859949070915881,0.37882490574450239,0.001,0.00037882490574450239,0.0089071700013470863,1.3126370800441807,1.3075993137641835,0.0038623640926952383
2022-04-04,balanced_fixed,balanced,fixed,0.0048480649763780193,0,0.001,0,0.0048480649763780193,1.319000829898638,1.3139386402003796,0.0038623640926952383
2022-04-05,balanced_fixed,balanced,fixed,-0.0097604529919111949,0,0.001,0,-0.0097604529919111949,1.3061267843021205,1.3011140038684481,0.0038623640926952383
2022-04-06,balanced_fixed,balanced,fixed,-0.0080085530181388531,0,0.001,0,-0.0080085530181388531,1.2956665987016258,1.2906939633858248,0.0038623640926952383
2022-04-07,balanced_fixed,balanced,fixed,0.008223538494304794,0,0.001,0,0.008223538494304794,1.3063215628518337,1.301308034878095,0.0038623640926952383
2022-04-08,balanced_fixed,balanced,fixed,-0.0018105723949476404,0,0.001,0,-0.0018105723949476404,1.3039563730912092,1.2989519224728212,0.0038623640926952383
2022-04-11,balanced_fixed,balanced,fixed,-0.025640305045270373,0,0.001,0,-0.025640305045270373,1.2705225339194262,1.2656463989414777,0.0038623640926952383
2022-04-12,balanced_fixed,balanced,fixed,0.00062010216242591731,0,0.001,0,0.00062010216242591731,1.2713103876901204,1.2664312290103279,0.0038623640926952383
2022-04-13,balanced_fixed,balanced,fixed,0.0059791380286868812,0,0.001,0,0.0059791380286868812,1.278911727975423,1.2740033961324202,0.0038623640926952383
2022-04-14,balanced_fixed,balanced,fixed,-0.0056904393472125836,0,0.001,0,-0.0056904393472125836,1.2716341583569399,1.2667537570785858,0.0038623640926952383
2022-04-18,balanced_fixed,balanced,fixed,-0.0038099408379590471,0,0.001,0,-0.0038099408379590471,1.2667893074460721,1.261927500207854,0.0038623640926952383
2022-04-19,balanced_fixed,balanced,fixed,0.011584102579876632,0,0.001,0,0.011584102579876632,1.2814639247306183,1.2765457978186292,0.0038623640926952383
2022-04-20,balanced_fixed,balanced,fixed,-0.0026882016290151745,0,0.001,0,-0.0026882016290151745,1.2780190913206333,1.2731141853254206,0.0038623640926952383
2022-04-21,balanced_fixed,balanced,fixed,-0.0098421066748344277,0,0.001,0,-0.0098421066748344277,1.2654406910913807,1.2605840597042028,0.0038623640926952383
2022-04-22,balanced_fixed,balanced,fixed,-0.016947311625324368,0,0.001,0,-0.016947311625324368,1.2439948733560893,1.2392205488144792,0.0038623640926952383
